*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Animator	Animator	Animator		Animador		Animator			Animador	Animador	Animator	Animateur	Animateur		动画制作器	動畫制作器		Аниматор	Animatör		Аниматор	Аніматор	Animator			アニメーター	Animatorius										Hoạt Ảnh		Аніматар	Animátor	Animerare	انیمیشن ساز
Gaming Chair	Gaming Chair	Gaming szék		Silla gaming		Fotel gamingowy			Cadeira Gamer	Cadeira Gamer	Mänguri tool	Chaise Gaming	Chaise de jeu	게이밍 의자	电竞椅	電競椅		Игровое кресло	Oyuncu koltuğu			Ігрове крісло	Gaming Stuhl			ゲーミングチェア	Žaidimų kėdė										Ghế Gaming		Гульнявое крэсла	Herná stolička	Spel stol	صندلی بازی
Chair	Chair	Szék		Silla		Krzesło			Cadeira	Cadeira	Tool	Chaise	Chaise	의자	椅子	椅子		Кресло	Sandalye			Крісло	Stuhl			椅子	Kėdė										Ghế		Крэсла	Stolička	stol	صندلی
Headphone	Headphone	Fejhallgató		Audífonos		Słuchawki			Fone	Fones de Ouvido	kõrvaklappid	Écouteurs	Écouteurs	헤드폰	耳机	耳機		Наушники	Kulaklık			Навушники	Kopfhörer			ヘッドフォン	Ausines										Tai nghe		Навушнік	Slúchadlá	Hörlurar	هدفون
Headphone Stand	Headphone Stand	Fejhallgató Állvány		Soporte para audífonos		Stojak na słuchawki			Suporte para Fone	Stand de Fones	kõrvaklappi alus	Pied d'écouteurs	Pied d'écouteurs	헤드폰 거치대	耳机架	耳機架		Подставка для наушников	Kulaklık standı			Підставка для навушників	Kopfhörer Ständer			ヘッドフォンスタンド	Ausinių stovas										Giá Để Tai Nghe		Падстаўка для навушнікаў	Držiak na slúchadlá	Hörlurarstativ	پایه هدفون
Picture Frame	Picture Frame	Képkeret		Marco de fotos		Ramka			Quadro de Foto	Moldura de Fotos	Pildi raam	Cadre Photo	Cadre Photo		画框	畫框		Рамка для картинки				Рамка	Bilderrahmen			額縁	Paveikslo rėmelis										Khung Tranh		Фотарамка	Rám na obraz		قاب عکس
Banner	Banner	Banner		Banner		Baner			Banner	Estandarte	bänner	Bannière	Bannière		展示牌	展示牌		Баннер	Afiş			Банер	Banner			バナー	Baneris										Banner		Расцяжка	Plagát		بنر
Uploading	Uploading	Feltöltés		Subiendo		Przesyłanie			Upando	A Enviar	Üles laeb	Téléversement	Téléversement		上传中	上傳中		Загружается	Yüklemek			Завантажується	Uploaden…			アップロード中	Įkeliama										Đang Tải Lên		Загрузка	Nahrávam		در حال بارگذاری
Evaporator	Evaporator	Párologtató		Evaporador		Wyparowywacz			Evaporador	Evaporador	Aurusti	Évaporateur	Évaporateur		蒸发器	蒸發器		Испаритель	Buharlaştırıcı			Випарник	Verdampfer			蒸発器	Garintuvas										Máy Bay Hơi		Выпарнік	Výparovník		تبیر کننده
Liquid Nitrogen Tank	Liquid Nitrogen Tank	Folyékony Nitrogén Tartály		Tanque de nitrógeno líquido		Ciekły azot			Nitrogênio Líquido	Tanque de Nitrogénio Líquido	vedel lämmastiku paak	Bonbonne d'azote liquide	Bouteille d'azote liquide		液氮罐	液氮罐		Жидкий азот	Sıvı nitrojen tankı			Бак з рідким азотом	Flüssigstickstoff			液体窒素タンク	Skysto azoto bakas										Bình Nitơ Lỏng		Бак для вадкага азоту	Nádrž na tekutý dusík		نیتروژن مایع
Browser	Browser	Böngésző		Navegador		Przeglądarka			Navegador	Browser	Brauser	Navigateur	Navigateur		浏览器	瀏覽器		Браузер	Tarayıcı			Браузер	Browser			プラウザー	Naršyklė										Trình duyệt		Браўзэр	Prehliadač		مرورگر
CD	CD	CD		CD		CD			CD	CD	CD	CD	CD		光盘	光盤		CD-диск				Компакт-диск	CD			CD	CD										Đĩa CD		CD	CD		سی دی
Camera	Camera	Kamera		Cámara		Kamera			Câmera	Câmara	Kaamera	Caméra	Caméra		相机	相機		Камера				Камера	Kamera			カメラ	Fotoaparatas										Máy Ảnh		Камера	Kamera		دوربین
Thank you	Thank you	Köszönjük		Gracias		Dziękuję			Obrigado	Obrigado	Aitäh	Merci	Merci		谢谢	謝謝		Спасибо				Дякую	Dankeschön			ありがとう	Ačiū										Cảm ơn bạn		Дзякуй	Ďakujem		متشکرم
Make your own custom banners at a low price	Make your own custom banners at a low price	Készítsd el a saját bannereid alacsony áron		Haz tus propios banners personalizados a buen precio		Stwórz swój własny baner tanio			Faça seus próprios banners customizados por um preço baixo	Faz os teus próprios estandartes por um preço baixo	Tee enda bänneri madala hinnaga	Faites votre propre bannière à bas prix	Faites votre propre bannière à bas prix		以低廉的价格制作您自己的定制横幅	以低廉的價格制作您自己的定制橫幅		Сделайте свой собственный баннер за низкую цену				Створити свій банер	Erstellen deinen eigenen, individuellen Banner zu einem günstigen Preis			あなただけのカスタムバナーを低価格で作成する	Sukurkite savo individualius banerius už mažą kainą										Tạo các banner của riêng bạn với chi phí thấp		Зрабіце свае ўласныя індывідуальныя банеры па нізкай цане	Vytvorte si vlastné plagáty za nízku cenu		بنر های سفارشی خود را با قیمت پایین بسازید
Error	Error	Hiba		Error		Błąd			Erro	Erro	Error	Erreur	Erreur		错误	錯誤		Ошибка				Помилка	Fehler			エラー	Klaida										Lỗi		Памылка	Chyba		خطا
Super Glue	Super Glue	Pillanatragasztó		Super pegamento		Kropelka			Super Cola	Super Cola	Super liim	Super-Colle	Super Colle		强力胶	強力膠		Супер клей				Супер-клей	Sekundenkleber			スーパーグルー	Super klijai										Keo siêu dính		Супер клей	Super Lepidlo		چسب قوی
Pillow	Pillow	Párna		Almohada		Poduszka			Travesseiro	Almofada	Padi	Oreiller	Oreiller		枕头	枕頭		Подушка				Подушка	Kissen			枕	Pagalvė										Gối		падушка	Vankúš		بالش
Wall Shelf	Wall Shelf	Fali Polc		Estante de pared		Półka			Prateleira de Mesa	Estante de Parede	Riiul	Tablette Murale	Étagère Murale		墙架	牆架		Настенная полка				Настінна поличка	Wandregal			壁掛けの棚	Sieninė lentyna										Kệ treo tường		Насценная паліца	Polička		قفسه دیواری
Holographic Projector	Holographic Projector	Hologram Projektor		Proyector		Projektor holograficzny			Projetor Holográfico	Projetor Holográfico	Holograafiline projektor	Projecteur Holographique	Projecteur Holographique		全息投影仪	全息投影儀		Голлографический проектор				Голографічний проєктор	Holographischer Beamer			ホログラフィックプロジェクター	Holografinis projektorius										Máy Chiếu Ba Chiều		Галаграфічны праектар	Holografický Projektor		پروژکتور هولوگرافیک
Projector	Projector	Projektor		Proyector holográfico		Projektor holograficzny			Projetor	Projetor	projektor	Projecteur	Projecteur		投影仪	投影儀		Проектор				Проєктор	Beamer			プロジェクター	Projektorius										Máy Chiếu		Праектар	Projektor		پروژکتور
Only supports {0}x{1} resolution	Only supports {0}x{1} resolution	Csak {0}x{1} felbontást támogat		Solo soporta la resolución {0}x{1}		Tylko wspiera rozdzielczość {0}x{1}			Só suporta resolução {0}x{1}	Apenas suporta a resolução de {0}x{1}	Toetab ainult {0}x{1} resolutsiooni	Supporte seulement une résolution de {0}x{1}	Supporte seulement une résolution de {0}x{1}		仅支持{0}x{1}分辨率	僅支持{0}x{1}分辨率		Поддерживает только {0}x{1} разрешение				Підтримується тільки розширення {0}x{1}	Unterstützt nur eine Auflösung von {0}x{1}			{0}x{1} の解像度のみに対応しています	Palaikoma tik {0}x{1} rezoliucija										Chỉ hỗ trợ độ phân giải {0}x{1}		Падтрымлівае толькі раздзяленне {0}x{1}	Podporuje iba {0}x{1} rozlíšenie		فقط از وضوح {0} در {1} پشتیبانی میشود
Unable to connect to device	Unable to connect to device	Nem sikerült csatlakoztatni az eszközt		No se pudo conectar al dispositivo		Nie można połączyć z urządzeniem			Não foi possível conectar ao dispositivo	Ocorreu um erro ao ligar ao dispositivo	Seadmega ei saa ühendada	Impossible de connecter l'appareil	Impossible de connecter l'appareil		无法连接到设备	無法連接到設備		Не удалось подключиться к устройству				Невдалося під'єднатися до пристрою	Konnte keine verbindung zum Gerät herstellen			デバイスに接続できません	Nepavyko prisijungti prie įrenginio										Không thể kết nối với thiết bị		Немагчыма падключыцца да прылады	Nedá sa pripojiť k zariadeniu		امکان اتصال به دستگاه وجود ندارد
Printer Ink ({0})	Printer Ink ({0})	Tinta: {0}		Tinta de impresora ({0})		{0} Tusz			Tinta de Impressora ({0})	Tinteiros ({0})	Printeri tint	Encre ({0})	Encre ({0})		打印机墨水（{0}）	打印機墨水（{0}）		Принтерные чернила ({0})				Чорнила для принтера ({0})	Drucker Tinte ({0})			プリンターインク	Spausdintuvo rašalas ({0})										Mực Máy In ({0})		Чарніла для друкаркі ({0})	Farba v tlačiarni		جوهر چاپگر ({0})
Supply Levels	Supply Levels	Ellátások Szintje		Niveles de suministro		Poziomy w drukarce			Nível de Tinta	Níveis de Tinteiros	Pakkumise tasemed	Niveaux d'approvisionnement	Niveaux d'approvisionnement		供给量	供給量		Уровни питания				Рівні постачання	Füllstand			供給レベル	Tiekimo lygis										Mức cung cấp máy in		Узроўні забеспячэння	Úroveň Zásobovania		سطح های تامین
Factory	Factory	Gyár		Fábrica		Fabryka			Fábrica	Fábrica	Tehas	Usine	Usine		工厂	工廠		Фабрика				Завод	Fabrik			工場	Gamykla										Nhà Máy		Фабрыка	Továreň		کارخانه
Coffee	Coffee	Kávé		Café		Kawa			Café	Café	Kohvi	Café	Café		咖啡	咖啡		Кофе				Кава	Kaffee			コーヒー	Kava										Cà Phê		Кава	Káva		قهوه
Install Now	Install Now	Telepítés Most		Instalar ahora		Zainstaluj teraz			Instale Agora	Instala Agora	Lae alla nüüd	Installer Maintenant	Installer Maintenant		立即安装	立即安裝		Установить сейчас				Встановити прямо зараз	Jetzt Installieren			今すぐダウンロード	Įdiegti dabar										Cài Đặt Ngay		Ўсталяваць зараз	Nainštalovať		نصب کنید
Next	Next	Következő		Siguiente		Kolejny			Próximo	Seguinte	Järgmine aste	Prochain	Prochain		下一步	下一步		Следующий				Далі	Nächste			継ぎ	Kitas										Tiếp theo		Далей	Další		بعدی
Installing PCOS	Installing PCOS	A PCOS Telepítése		Instalando PCOS		Instaluję PCOS			Instalando PCOS	A Instalar o PCOS	Laeb PCOS	Installation de PCOS	Installation de PCOS		PCOS安装中	PCOS安裝中		Установка PCOS				Установка PCOS	Installiere Betriebssystem			PCOSをインストールします	Įdiegiama PCOS										Đang Cài Đặt PCOS		Ўстаноўка PCOS	Inštalujem PCOS		در حال نصب PCOS
Where do you want to install PCOS?	Where do you want to install PCOS?	Hova szeretné telepíteni a PCOS-t?		¿Dónde desea instalar PCOS?		Gdzie chcesz zainstalować PCOS?			Onde instalar PCOS?	Onde queres instalar o PCOS?	Kuhu sa tahad laadida PCOS'i?	Où installer PCOS?	Où installer PCOS?		您想在哪里安装 PCOS？	您想在哪裡安裝 PCOS？		Где вы хотите установить PCOS?				Куди ви хочете установити PCOS?	Wo würdest du das Betriebssystem installieren?			PCOSをどこにインストールしますか？	Kur norite įdiegti PCOS?										Bạn muốn cài đặt PCOS ở đâu?		Дзе вы хочаце ўсталяваць PCOS?	Kde chcete nainštalovať PCOS?		PCOS را کجا میخواهید نصب کنید؟
Test Bench	Test Bench	Tesztelőasztal		Banco de pruebas		Stanowisko testowe			Banca de Teste	Bancada de Teste	Katseta tööLauda	Bureau de test	Bureau de test		试验台	試驗台		Испытательный стенд				Тестовий стенд	Test Bench			テストベンチ	Bandymų stendas										Khay gá lắp PC		Тэставы стэнд	Testovací Stvôl		میز امتحانی
Accessory	Accessory	Kiegészítő		Accesorio		Akcesoria			Acessório	Acessório	Lisand	Accessoire	Accessoire		配件	配件		Аксессуар				Аксесуари	Accessoires			アクセサリー	Priedas										Phụ kiện		Аксэсуар	Príslušenstvo		لوازم جانبی
Arcade	Arcade	Árkád		Arcade		Arkada			Arcade	Arcada	Arkaad	Arcade	Arcade		街机	街機		Аркада				Аркадний автомат	Arcade			アーケード	Arkada										Arcade		Аркада	Arkáda		آرکید
Claim	Claim	Igénylés		Obtener		Odbierz			Reivindicar	Resgatar	Võta	Réclamer	Réclamer		领取	領取		Получить				Присвоїти	Einlösen			請求	Priimti										Nhận		Прэтэнзія	Získať		دریافت
Lock	Lock	Zárolás		Bloquear		Zablokuj			Travar	Bloquear	Lukk	Verrouiller	Verrouiller		锁定	鎖定		заблокировать				Заблокувати	Schloss			ロック	Užraktas										Khoá		Замак	Zamknúť		قفل
Gallery	Gallery	Galéria		Galería		Galeria			Galeria	Galeria	Galerii	Gallerie	Gallerie		画廊	畫廊		Галерея				Галерея	Gallerie			ギャラリー	Galerija										Bộ Sưu Tập		Галерэя	Galéria		آلبوم عکس
Download	Download	Letöltés		Descargar		Pobierz			Baixar	Transferir	Lae alla	Télécharger	Télécharger		下载	下載		Скачать				Завантажити	Downloaden			ダウンロード	Parsisiųsti										Tải Xuống		Спампаваць	Stiahnúť		دانلود
